title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2010 Hyundai i10 Sportz,₹1.95 Lakh,Chennai,2010,Expired,Petrol,"90,000 Kms",Chennai,Second Owner
2022 Maruti S-Presso VXI,₹4.61 Lakh,"Vadapalani, Chennai",May 2022,Comprehensive,Petrol,"32,991 Kms",Cuddalore,First Owner
2020 Tata Altroz XZ Diesel BSVI,₹6.07 Lakh,"Thiruverkadu, Chennai",Feb 2020,Comprehensive,Diesel,"30,574 Kms",Chennai,First Owner
2012 BMW 3 Series 320d,₹15 Lakh,Chennai,2012,Expired,Diesel,"70,000 Kms",Chennai,Third Owner
2021 Jeep Compass Model S DCT BSVI,₹20.90 Lakh,"Thygaraya Nagar, Chennai",Oct 2021,Comprehensive,Petrol,"28,000 Kms",Chennai,First Owner
2018 Mercedes-Benz GLC 220d Celebration Edition,₹37.50 Lakh,"Thygaraya Nagar, Chennai",Mar 2020,Comprehensive,Diesel,"45,000 Kms",Chennai,Second Owner
2015 BMW 7 Series 730Ld,₹27 Lakh,"Ashoknagar, Chennai",Apr 2015,Comprehensive,Diesel,"38,000 Kms",Chennai,First Owner
2022 Renault KWID CLIMBER AMT BSVI,₹5.03 Lakh,"Ganapathipuram, Chennai",Jan 2023,Zero Dep,Petrol,"19,397 Kms",Chennai,First Owner
2023 Maruti Alto K10 VXI Plus,₹4.71 Lakh,"Vadapalani, Chennai",Jun 2023,Third Party,Petrol,"16,578 Kms",Chennai,First Owner
2022 Tata Altroz XZA Plus Dark Edition DCT BSVI,₹7 Lakh,"Vadapalani, Chennai",Jun 2022,Third Party,Petrol,"30,258 Kms",Chennai,First Owner
2009 Audi A6 2.7 TDI,₹9.90 Lakh,Chennai,2009,Expired,Diesel,"90,000 Kms",Chennai,Second Owner
2019 Skoda Superb LK 2.0 TDI AT,₹26.90 Lakh,"Peelamedu, Coimbatore",Nov 2020,Comprehensive,Diesel,"58,321 Kms",Udumalaipettai,Second Owner
2017 Honda Jazz 1.2 VX i VTEC,₹4.84 Lakh,"Thiruverkadu, Chennai",Feb 2017,Comprehensive,Petrol,"40,551 Kms",Chennai,Second Owner
2022 Renault Kiger RXT AMT,₹8 Lakh,Chennai,2022,Expired,Petrol,"10,000 Kms",Chennai,First Owner
2019 Honda Amaze S i-VTEC,₹5.78 Lakh,"Vadapalani, Chennai",Apr 2019,Comprehensive,Petrol,"45,816 Kms",Chennai,First Owner
2022 Hyundai Creta SX,₹13.95 Lakh,"Thygaraya Nagar, Chennai",Oct 2022,Comprehensive,Petrol,"27,000 Kms",Chennai,First Owner
2022 Kia Seltos HTX IVT G,₹15.25 Lakh,"Anna Nagar, Chennai",Aug 2022,Comprehensive,Petrol,"30,000 Kms",red hills,First Owner
2018 Hyundai i20 1.2 Asta Dual Tone,₹6.48 Lakh,"Airport, Chennai",Jan 2019,Comprehensive,Petrol,"42,075 Kms",Chennai,First Owner
2020 Jaguar F-Pace Prestige 2.0 AWD,₹55 Lakh,"Thygaraya Nagar, Chennai",Aug 2020,Comprehensive,Diesel,"17,000 Kms",Chennai,First Owner
2013 Ford Ecosport 1.5 DV5 MT Titanium,₹3.50 Lakh,Chennai,2013,Expired,Diesel,"1,00,000 Kms",Chennai,First Owner
2018 Maruti Celerio VXI AMT BSIV,₹4.60 Lakh,"Chromepet, Chennai",Dec 2018,Comprehensive,Petrol,"39,382 Kms",Chennai,First Owner
2012 Hyundai i20 Sportz Petrol,₹2.88 Lakh,"Vadapalani, Chennai",Jun 2012,Comprehensive,Petrol,"62,850 Kms",Chennai,Second Owner
2022 Tata Punch Accomplished AMT BSVI,₹7.50 Lakh,"Medavakkam, Chennai",Jul 2022,Comprehensive,Petrol,"31,000 Kms",Chennai,First Owner
2015 Audi A4 35 TDI Premium,₹11.50 Lakh,"Ashoknagar, Chennai",Apr 2015,Comprehensive,Diesel,"1,15,000 Kms",Chennai,Second Owner
2017 BMW 3 Series Petrol,₹6.09 Lakh,"Airport, Chennai",May 2017,Comprehensive,Petrol,"50,619 Kms",Chennai,Second Owner
2015 Hyundai Creta 1.6 CRDi SX,₹7.95 Lakh,Chennai,2015,Expired,Diesel,"90,000 Kms",Chennai,First Owner
2023 Kia Carens Luxury Plus DCT 6 STR,₹18.25 Lakh,"Kottivakkam, Chennai",Jun 2023,Comprehensive,Petrol,"7,001 Kms",Chennai,First Owner
2021 Jeep Compass Model S DCT BSVI,₹19 Lakh,Chennai,2021,Expired,Petrol,"70,000 Kms",Chennai,First Owner
2022 Maruti Celerio ZXI AMT,₹6.10 Lakh,"Thygaraya Nagar, Chennai",Aug 2022,Comprehensive,Petrol,"12,000 Kms",Chennai,First Owner
2018 Honda WR-V i-VTEC VX,₹5.82 Lakh,"Ganapathipuram, Chennai",Jul 2018,Expired,Petrol,"63,854 Kms",Chennai,First Owner
2022 Hyundai Aura SX Plus AMT Diesel,₹7.37 Lakh,"Vadapalani, Chennai",Apr 2022,Comprehensive,Diesel,"29,178 Kms",Chennai,First Owner
2014 Ford Figo Petrol Titanium,₹2.50 Lakh,Chennai,2014,Expired,Petrol,"1,50,000 Kms",Chennai,First Owner
2019 Hyundai Santro Sportz,₹4.68 Lakh,"Vadapalani, Chennai",May 2019,Comprehensive,Petrol,"53,412 Kms",Chennai,First Owner
2018 Jeep Compass 2.0 Limited,₹11 Lakh,"Ashoknagar, Chennai",Oct 2018,Comprehensive,Diesel,"94,000 Kms",Chennai,Second Owner
2010 Ford Figo Diesel LXI,₹3 Lakh,Chennai,2010,Expired,Diesel,"37,000 Kms",Chennai,First Owner
2014 Hyundai Santa Fe 2WD MT,₹7.50 Lakh,"Anna Nagar West Extension, Chennai",Sept 2014,Comprehensive,Diesel,"1,42,000 Kms",Chennai,First Owner
2015 Hyundai Grand i10 AT Asta,₹3.57 Lakh,"Vadapalani, Chennai",May 2015,Expired,Petrol,"90,919 Kms",Chennai,Second Owner
2019 Honda Amaze VX CVT Petrol BSIV,₹6.10 Lakh,"Thiruverkadu, Chennai",Jul 2019,Zero Dep,Petrol,"88,057 Kms",Chennai,First Owner
2025 Audi Q3 Premium Plus,₹43.90 Lakh,"Paltra, Gurgaon",Jan 2025,Expired,Petrol,101 Kms,Gurgaon,First Owner
